Report_ID,Report_Date,NIBRS_Code_Name,NIBRS_Crime_Against,Service_Area,NIBRS_Group,Zip_Code,DateTime
55233997515,2024-04-06,Stolen Property Offenses,PROPERTY,NORTH,Stolen Property Offenses,78209,2026-09-01
57060129027,2024-06-23,Stolen Property Offenses,PROPERTY,NORTH,Stolen Property Offenses,78209,2026-09-01
52364987761,2023-09-19,Fondling,PERSON,EAST,"Sex Offenses, Forcible",78210,2026-09-01
54642649009,2024-03-10,Fondling,PERSON,EAST,"Sex Offenses, Forcible",78210,2026-09-01
68233524234,2026-01-19,Fondling,PERSON,EAST,"Sex Offenses, Forcible",78210,2026-09-01
69190731616,2026-03-12,Pornography/Obscene Material,SOCIETY,EAST,Pornography/Obscene Material,78210,2026-09-01
49202108360,2023-04-19,Wire Fraud,PROPERTY,EAST,Fraud Offenses,78210,2026-09-01
65392937498,2025-08-11,Arson,PROPERTY,SOUTH,Arson,78211,2026-09-01
64129483238,2025-05-25,Pornography/Obscene Material,SOCIETY,SOUTH,Pornography/Obscene Material,78211,2026-09-01
64475650075,2025-06-11,Pornography/Obscene Material,SOCIETY,SOUTH,Pornography/Obscene Material,78211,2026-09-01
65703231201,2025-09-03,Wire Fraud,PROPERTY,SOUTH,Fraud Offenses,78211,2026-09-01
58668766604,2024-08-31,Extortion/Blackmail,PROPERTY,CENTRAL,Extortion/Blackmail,78212,2026-09-01
69579782223,2026-04-07,Fondling,PERSON,DOWNTOWN,"Sex Offenses, Forcible",78212,2026-09-01
43579777696,2023-02-26,Impersonation,PROPERTY,NORTH,Fraud Offenses,78213,2026-09-01
56025869254,2024-05-10,Wire Fraud,PROPERTY,NORTH,Fraud Offenses,78213,2026-09-01
51493479950,2023-07-25,Arson,PROPERTY,SOUTH,Arson,78214,2026-09-01
53830120269,2024-01-18,Fondling,PERSON,SOUTH,"Sex Offenses, Forcible",78214,2026-09-01
68363418597,2026-01-31,Pornography/Obscene Material,SOCIETY,SOUTH,Pornography/Obscene Material,78214,2026-09-01
68411134398,2026-02-04,Fondling,PERSON,DOWNTOWN,"Sex Offenses, Forcible",78215,2026-09-01
59923458507,2024-10-23,Arson,PROPERTY,NORTH,Arson,78216,2026-09-01
70340363056,2026-05-07,Embezzlement,PROPERTY,NORTH,Embezzlement,78216,2026-09-01
48534779816,2023-04-02,Fondling,PERSON,NORTH,"Sex Offenses, Forcible",78216,2026-09-01
66442835642,2025-11-16,"Human Trafficking, Commercial Sex Acts",PERSON,NORTH,Human Trafficking,78216,2026-09-01
68391650880,2026-02-03,Pocket-picking,PROPERTY,NORTH,Larceny/Theft Offenses,78216,2026-09-01
64382840553,2025-06-08,Pornography/Obscene Material,SOCIETY,NORTH,Pornography/Obscene Material,78216,2026-09-01
52723611439,2023-10-21,Theft From Coin-Operated Machine or Device,PROPERTY,NORTH,Larceny/Theft Offenses,78216,2026-09-01
51888161796,2023-08-14,Wire Fraud,PROPERTY,NORTH,Fraud Offenses,78216,2026-09-01
64376701343,2025-06-07,Wire Fraud,PROPERTY,NORTH,Fraud Offenses,78216,2026-09-01
54976195084,2024-03-24,Prostitution,SOCIETY,NORTH,Prostitution Offenses,78217,2026-09-01
60742592870,2024-11-08,Murder & Nonnegligent Manslaughter,PERSON,EAST,Homicide Offenses,78218,2026-09-01
65481487327,2025-08-16,Pornography/Obscene Material,SOCIETY,EAST,Pornography/Obscene Material,78218,2026-09-01
48308991364,2023-03-31,Stolen Property Offenses,PROPERTY,EAST,Stolen Property Offenses,78218,2026-09-01
53839149116,2024-01-19,Stolen Property Offenses,PROPERTY,SOUTH,Stolen Property Offenses,78218,2026-09-01
40787115691,2023-01-17,Murder & Nonnegligent Manslaughter,PERSON,EAST,Homicide Offenses,78219,2026-09-01
40506539101,2023-01-11,Pocket-picking,PROPERTY,EAST,Larceny/Theft Offenses,78219,2026-09-01
54341997679,2024-02-23,Stolen Property Offenses,PROPERTY,EAST,Stolen Property Offenses,78219,2026-09-01
46433972721,2023-03-14,Theft From Coin-Operated Machine or Device,PROPERTY,EAST,Larceny/Theft Offenses,78219,2026-09-01
58865755479,2024-09-08,Animal Cruelty,SOCIETY,EAST,Animal Cruelty,78220,2026-09-01
67976910440,2025-12-29,Fondling,PERSON,EAST,"Sex Offenses, Forcible",78220,2026-09-01
44901412383,2023-03-04,Murder & Nonnegligent Manslaughter,PERSON,EAST,Homicide Offenses,78220,2026-09-01
49234083647,2023-04-23,Pocket-picking,PROPERTY,EAST,Larceny/Theft Offenses,78220,2026-09-01
